en,fr
"Based on 2016 commuting data, we quantify possible reductions in VMT and GHG by identifying car trips that could be shifted to cycling based on distance, elevation change and other factors.","Basé sur les données relatives aux déplacements domicile-travail en 2016, nous quantifions les réductions possibles de KPV et de GES en identifiant les déplacements en voiture qui pourraient être remplacés par des déplacement en vélo en fonction de la distance, du changement d'altitude et d'autres facteurs."
"<p>The transportation sector is a major contributor to Canada's greenhouse gas (GHG) emissions which are linked to global climate change. Reducing vehicle miles traveled (VMT) over the long term is increasingly recognized as the key to reduce GHG emissions from the transportation sector but has not received as much attention as needed.<p>The primary objective of this study is to investigate the potential for reducing VMT and GHG emissions by shifting short car trips to cycling in Montreal. Based on commuting data from the 2016 Canadian Census, commuting patterns were explored. Two scenarios were introduced to model environmental effects of a modal shift towards cycling based on characteristics of current bicycle trips.<p>The results showed that enhanced cycling commuting can reduce VMT and GHG emissions from car travel. Other mitigation measures are necessary for achieving GHG emissions reduction targets.<br><p><i>Module lead authors: Qiao Zhao, Kevin Manaugh</i>","<p>Le secteur des transports est un contributeur majeur aux émissions de gaz à effet de serre (GES) du Canada, qui sont liées au changement climatique mondial. La réduction des kilomètres parcourus par les véhicules (KPV) sur le long terme est de plus en plus reconnue comme la clé de la réduction des émissions de GES du secteur des transports, mais n'a pas reçu autant d'attention que nécessaire.<p>Le principal objectif de cette étude est d'étudier le potentiel de réduction des KPV et des émissions de GES en déplaçant les courts trajets en voiture par le vélo à Montréal. Deux scénarios ont été introduits pour modéliser les effets environnementaux d'un transfert modal vers le vélo en fonction des caractéristiques des déplacements actuels à vélo.<p>Les résultats ont montré que l'augmentation des déplacements à vélo peut réduire les KPV et les émissions de GES des déplacements en voiture. D'autres mesures de réduction sont nécessaires pour atteindre les objectifs de diminution des émissions de GES.<br><p><i>Auteurs principaux du module: Qiao Zhao, Kevin Manaugh</i>"
The capacity for pedestrian social distancing is a capacity measurement that determines the percentage of a neighbourhood’s population that can make local trips on foot at the same time while respecting ‘social distancing’ regulations.,"La capacité de distanciation sociale des piétons est une mesure de capacité qui détermine le pourcentage de la population d'un quartier qui peut faire des trajets locaux à pied en même temps, tout en respectant les règles de «distanciation sociale»."
"<p>Using open data from Montreal's open data portal as well as OpenStreetMap, it was possible to calculate the total surface area of sidewalks, neighbourhood parks, and pre-Covid pedestrian streets. Summing these surface areas gets us the neighbourhood's total walkable surface area. It is then possible to calculate how many residents can ‘fit’ into the pedestrian realm while respecting ‘social distancing’ regulations of 2 meters (total walkable surface area divided by the surface area of a circle with a 2-meter radius, that is 12.54 square meters). Finally, we normalize the value by representing it as a percentage of the residential population. Neighbourhoods where less than 100% of the local population can make trips on foot at the same time are above capacity and more at risk of overcrowding from local pedestrian trips. <p>While it is still important to take into account pedestrian flows coming from external neighbourhoods (some data on pedestrian flows obtained from 2016 TrajetMtl data is presented in this research), the measurement’s focus on local pedestrian capacity is especially relevant during a pandemic situation where shelter in place and travel restrictions have generally led to a rise in local trips and a decline in trips from other neighbourhoods.<br><p><i>Module lead author: Samuel Kohn</i>","<p>En utilisant les données du portail de données ouvertes de Montréal ainsi que OpenStreetMap, il a été possible de calculer la surface totale des trottoirs, des parcs de quartier et des rues piétonnes pré-Covid-19. En additionnant ces surfaces, on obtient la surface totale du quartier où l'on peut marcher. Il est alors possible de calculer combien d'habitants peuvent «s'intégrer» dans la zone piétonne tout en respectant les règles de «distanciation sociale» de 2 mètres (surface totale piétonne divisée par la surface d'un cercle de 2 mètres de rayon, soit 12,54 mètres carrés). Enfin, nous normalisons la valeur en la représentant en pourcentage de la population résidentielle. Les quartiers où moins de 100 % de la population locale peut effectuer des trajets à pied en même temps sont au-dessus de leur capacité et sont plus exposés au risque de surpeuplement des trajets locaux à pied. <p>Même s'il est toujours important de prendre en compte les flux de piétons provenant des quartiers extérieurs (certaines données sur les flux de piétons obtenues à partir des données de 2016 de TrajetMtl sont présentées dans cette recherche), l'accent mis par la mesure sur la capacité piétonne locale est particulièrement pertinent en situation de pandémie, où les protections en place et les restrictions de déplacement ont généralement conduit à une augmentation des déplacements locaux et à une diminution des déplacements provenant d'autres quartiers.<br><p><i>Auteur principal du module: Samuel Kohn</i>"
"Compare the pedestrian capacity for social distancing metric across a variety of other variables, such as walkable access to amenities, income level, immigration, visible minorities, population density, etc. ","Comparez la mesure de la capacité des piétons à pratiquer la distance sociale en fonction de diverses autres variables, telles que l'accès à pied aux services de base, le revenu, l'immigration, les minorités visibles, la densité de population, etc."
"The data shows us that the ability to safely navigate pedestrian space tends to be much lower in DAs with lower incomes as well as DAs with high proportions of visible minorities and immigrants compared to majority white regions of Montreal. While the City’s plans to increase walkable urban space made some improvements to these discrepancies, there is room for improvement. The interactive data within this platform has the potential to support policy-makers towards making strategic decisions with more equitable outcomes. Below is a policy analysis exemplar using two variables: capacity for pedestrian social distancing and walkable access to key amenities.","Les données nous montrent que la capacité à se déplacer en toute sécurité dans l'espace piétonnier tend à être beaucoup plus faible dans les AD à faible revenu ainsi que dans les AD ayant une forte proportion de minorités visibles et d'immigrants par rapport aux régions de Montréal où la majorité des habitants sont blancs. Bien que les plans de la Ville visant à augmenter l'espace urbain piétonnier aient permis d'améliorer ces écarts, il y a place à amélioration. Les données interactives de cette plateforme peuvent aider les décideurs politiques à prendre des décisions stratégiques avec des résultats plus équitables. Vous trouverez ci-dessous un exemple d'analyse de politique utilisant deux variables: la capacité de distanciation sociale des piétons et l'accès à pied aux services de base."
"In order to calculate the width of sidewalks in Montreal, we used a spatial dataset published by Montréal Open Data Portal that includes polygons of all sidewalks within the Montreal agglomeration. Using the the object-oriented programming language R, we developed a function which first creates negative buffers inside each sidewalk segment, and then iteratively adjusts the distance of that buffer until the maximum distance is achieved which still produces valid buffer geometry (if the buffer boundaries overlap, the geometry becomes invalid). The outcome is the equivalent of a centreline inside each sidewalk polygon. The last step to determine sidewalk width is to sum the distances between the centreline and both edges of a given sidewalk polygon segment. This process is illustrated below.","Afin de calculer la largeur des trottoirs à Montréal, nous avons utilisé un ensemble de données spatiales publié par le Portail de données ouvertes de Montréal, qui comprend les polygones de tous les trottoirs de l'agglomération de Montréal. En utilisant le langage de programmation orienté objet R, nous avons développé une fonction qui crée d'abord des tampons négatifs à l'intérieur de chaque segment de trottoir, puis ajuste itérativement la distance de ce tampon jusqu'à ce que la distance maximale soit atteinte, ce qui produit encore une géométrie de tampon valide (si les limites du tampon se chevauchent, la géométrie devient invalide). Le résultat est l'équivalent d'une ligne centrale à l'intérieur de chaque polygone de trottoir. La dernière étape pour déterminer la largeur du trottoir consiste à additionner les distances entre la ligne centrale et les deux bords d'un segment donné de polygone de trottoir. Ce processus est illustré ci-dessous."
the percentage of private dwellings occupied by tenants,le pourcentage de logements privés occupés par des locataires
the average rent paid by tenants per month,le loyer moyen payé par les locataires par mois
the average value of owner-occupied dwellings,la valeur moyenne des logements occupés par leur propriétaire
the percentage of dwellings for which residents pay more than 30% of income on housing costs,le pourcentage de logements pour lesquels les résidents consacrent plus de 30 % de leurs revenus aux frais de logement
the percentage of households living in accommodations without enough bedrooms according to the National Occupancy Standard,le pourcentage de ménages vivant dans des logements ne disposant pas d'un nombre suffisant de chambres à coucher selon la norme d'occupation nationale
the percentage of households living in dwellings requiring major repairs,le pourcentage de ménages vivant dans des logements nécessitant des réparations importantes
the percentage of owner households that spend more than 30% of their income on shelter costs,le pourcentage de ménages propriétaires qui consacrent plus de 30 % de leur revenu aux frais de logement
the percentage of renter households that spend more than 30% of their income on shelter costs,le pourcentage de ménages locataires qui consacrent plus de 30 % de leur revenu aux frais de logement
the percentage of households that have moved in the past year,le pourcentage de ménages qui ont déménagé au cours de l'année écoulée
the percentage of households that have moved in the past five years,le pourcentage de ménages qui ont déménagé au cours des cinq dernières années
median before-tax household income,revenu médian des ménages avant impôt
"the percentage of households with an income less then $50,000",le pourcentage de ménages dont le revenu est inférieur à 50 000 $.
"the percentage of households with an income between $50,000 and $100,000",le pourcentage de ménages dont le revenu est compris entre 50 000 et 100 000 dollars
"the percentage of households with an income higher than $100,000",le pourcentage de ménages dont le revenu est supérieur à 100 000 dollars
"the prevalence of low income in private households based on the Low income measure, after-tax(LIM-AT)","la prévalence du faible revenu dans les ménages privés, basée sur la mesure du faible revenu, après impôt (MFR-ApI)"
the percentage of residents who are foreign-born,le pourcentage de résidents nés à l'étranger
the percentage of people who have immigrated in the last five years,le pourcentage de personnes qui ont immigré au cours des cinq dernières années
the percentage of people who identify as part of one or more visible minority groups,le pourcentage de personnes qui s'identifient comme faisant partie d'un ou plusieurs groupes de minorités visibles
the percentage of people who are of aboriginal identity,le pourcentage de personnes qui ont une identité autochtone
the percentage of people who drive a privately owned car or truck to work,le pourcentage de personnes qui conduisent une voiture ou un camion privé pour se rendre au travail
the percentage of people who walk or cycle to work,le pourcentage de personnes qui se rendent au travail à pied ou à vélo
the percentage of people who use public transit to get to work,le pourcentage de personnes qui utilisent les transports en commun pour se rendre au travail
the percentage of people whose commute time is less than 15 minutes,le pourcentage de personnes dont le temps de trajet est inférieur à 15 minutes
the percentage of people whose commute time is between 15 and 45 minutes,le pourcentage de personnes dont le temps de trajet est compris entre 15 et 45 minutes
the percentage of people whose commute time is longer than 45 minutes,le pourcentage de personnes dont le temps de trajet est supérieur à 45 minutes
"the percentage of the workforce in professional and managerial occupations, based on the North American Industry Classification System","le pourcentage de la main-d'œuvre dans les professions libérales et les postes de gestion, selon le Système de classification des industries de l'Amérique du Nord."
"the percentage of the workforce in artistic and cultural occupations, based on the North American Industry Classification System","le pourcentage de la main-d'œuvre dans les professions artistiques et culturelles, selon le Système de classification des industries de l'Amérique du Nord."
the percentage of census families with children out of total households,le pourcentage de familles de recensement avec enfants par rapport au total des ménages
the percentage of one person households out of total households,le pourcentage de ménages d'une personne par rapport au total des ménages
the percentage of individuals that only know French as an official language,le pourcentage d'individus qui ne connaissent que le français comme langue officielle
the percentage of individuals that only know English as an official language,le pourcentage d'individus qui ne connaissent que l'anglais comme langue officielle
the percentage of individuals that know both official languages (French and English),le pourcentage de personnes qui connaissent les deux langues officielles (français et anglais)
the percentage of individuals that do not know either of the official languages (French or English),le pourcentage d'individus qui ne connaissent aucune des deux langues officielles (français ou anglais)
the percentage of the population aged between 0 and 14 years old,le pourcentage de la population âgée de 0 à 14 ans
the percentage of the population aged between 15 and 64 years old,le pourcentage de la population âgée de 15 à 64 ans
the percentage of the population aged 65 and above,le pourcentage de la population âgée de 65 ans et plus
the percentage of the population aged 15 and over holding a degree at bachelor level or above,le pourcentage de la population âgée de 15 ans et plus détenant un diplôme de niveau licence ou plus
"the percentage of the population aged 15 and over with no certificate, diploma or degree","le pourcentage de la population âgée de 15 ans et plus ne possédant aucun certificat, diplôme ou grade"
the potential for active living,le potentiel de la vie active
"The whole of an ecosystem is more than the sum of its parts. The health and resilience of our urban green spaces are determined by the quantity, quality, and composition of the species with cohabitat with.","L'ensemble d'un écosystème est plus que la somme de ses parties. La santé et la résilience de nos espaces verts urbains sont déterminées par la quantité, la qualité et la composition des espèces avec lesquelles nous cohabitons."
Montreal's biodiversity is the result of many competing factors...,La biodiversité de Montréal est le résultat de nombreux facteurs concurrents...
Hello Shiny!,French
"Dashboards offer a tool for communicating sustainability data in a visually based digital platform. We see a gap in current dashboards going beyond the visualization of pre-existing data at static scales, leaving room for a more future-oriented, scalable, and interactive model.","Les tableaux de bord offrent un outil pour communiquer des données sur le développment durable dans une plate-forme numérique visuelle. Nous constatons une lacune dans les tableaux de bord actuels allant au-delà de la visualisation de données préexistantes à des échelles statiques, laissant la place à un modèle plus orienté vers l'avenir, modulable et interactif."
"Existing data-driven approaches to urban sustainability are characterized by static data, limited user interaction, and the oversimplification of complex urban issues. They provide little opportunity for user engagement and exploration of questions connecting different data and issues.","Les approches actuelles fondées sur les données étudiant la durabilité urbaine se caractérisent par des données statiques, une interaction limitée pour les utilisateurs et une simplification excessive de problèmes urbains complexes. Elles offrent peu d’opportunités pour l’engagement des utilisateurs et l’exploration de questions reliant différentes données et problèmes."
"Some of the limitations of existing dashboards include a bias towards quantifiable, measurable components of sustainability, and a reliance on data with potential bias. Furthermore, they often attempt to play the role of a neutral force to communicate “objective” information on cities.","Parmi les limites des tableaux de bord existants, on peut citer la préférence accordée aux éléments quantifiables et mesurables de la durabilité, et la dépendance à l'égard de données potentiellement biaisées. En outre, ils tentent souvent de jouer le rôle d'une force neutre pour communiquer des informations “objectives” sur les villes."
Sustainability dashboards should build upon best practices to provide useful tools for individuals and cities alike to examine the many facets of urban sustainability and question existing assumptions.,Les tableaux de bord sur la durabilité devraient s'appuyer sur les meilleures pratiques afin de fournir des outils utiles aux individus comme aux villes pour examiner les nombreuses facettes de la durabilité urbaine et remettre en question les hypothèses existantes.
"Maintaining transparency with data and methodologies, ensuring public participation and accurate representation of underprivileged communities, and using engaging and accessible tools contribute to the success of a dashboard.","Maintenir la transparence des données et des méthodologies, s'assurer de la participation du public et de la représentation exacte des communautés défavorisées, ainsi qu'utiliser des outils attrayants et accessibles contribuent au succès d'un tableau de bord."
Sus aims to more accurately represent and better engage urban residents in order to harness the momentum surrounding technologically-based approaches to sustainability for public good.,Sus vise à représenter plus justement et à mieux impliquer les résidents urbains afin d'exploiter le momentum entourant les approches technologiques de la durabilité pour le bien public.
Further resources:,Ressources additionnelles
Active living potential,Potentiel de vie active
Commuter mode switching,Changement de mode de transport
Pedestrian realm,La voie piétonne
Why a dashboard?,Pourquoi un tableau de bord?
Meet the team,Rencontrez l'équipe
Nature-based solutions,Solutions basées sur la nature
Simulation,Simulation
Built environment,Le cadre bâti
Pedestrian capacity for social distancing,Capacité de distanciation sociale dans la voie piétonne
Pedestrian capacity for social distancing (census tracts),Capacité de distanciation sociale dans la voie piétonne (secteur de recensement)
Pedestrian capacity for social distancing (dissemination areas),Capacité de distanciation sociale dans la voie piétonne (aire de diffusion)
Explore sidewalks and parks,Explorez les trottoirs et les parcs
"<ul><li>  The top 3 boroughs that have the highest proportion of people living in census tracts with a low capacity for pedestrian physical distancing were 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).</ul>","<ul><li>  Les trois arrondissements ayant la plus grande proportion de personnes vivant dans des secteurs de recensement avec une faible capacité pour une distanciation physique piétonne sont 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).</ul>"
Select your second variable,Choisissez votre deuxième variable
Net Median Income,Revenu médian net
Visible Minority Population Proportion,Minorité visible (proportion de la population)
Immigrant Population Proportion,Immigrant (proportion de la population)
Montreal Covid-19 Expanded Active Transit Corridors,Voies actives et sécuritaires de la Ville de Montréal (Covid-19)
Play with the slider to filter the map,Jouez avec le curseur afin de filtrer et modifier la carte
Explore,Explorez
Did you know?,Saviez-vous?
Housing,Logement
Income,Revenu
Immigration,Immigration
Transportation,Déplacement domicile-travail
Borough,Arrondissement
City,Ville
borough/city,de l'arrondissement/de la ville
boroughs or cities,arrondissements ou villes
census tract,du secteur de recensement
census tracts,secteurs de recensement
dissemination area,de l'aire de diffusion
dissemination areas,aires de diffusion
Census tract {dat$name},Secteur de recensement {dat$name}
Dissemination area {dat$name},Aire de diffusion {dat$name}
{dat$name_2} of {place_name},{dat$name_2} de {place_name}
Tenant-occupied (%),Locataire occupant (%)
Average rent,Frais de logement mensuels moyens
Average property value,Value moyenne des logements
Unaffordable housing (%),Logement inabordable (%)
Unsuitable housing (%),Logement inadéquat (%)
Housing requiring major repairs (%),Logement nécessitant des réparations majeures (%)
Owner housing stress (%),Propriétaires dépensant plus de 30% du revenu sur le logement (%)
Renter housing stress (%),Locataires dépensant plus de 30% du revenu sur le logement (%)
Median household income,Revenu médian des ménages
Income under $50k (%),Revenu inférieur à 50k (%)
Income between $50k-$100k (%),Revenu entre 50k-100k (%)
Income above $100k (%),Revenu supérieur à 100k (%)
Prevalence of low income (after-tax) (%),Prévalence de faible revenu (après taxe) (%)
Immigration and ethnicity,Immigration et ethnie
Immigrants (%),Immigrants (%)
New immigrants (%),Nouveaux immigrants (%)
Visible minorities (%),Minorités visibles (%)
Drive to work (%),Conducteur (%)
Walk or cycle to work (%),À pied ou à vélo (%)
Public transit to work (%),Transport en commun (%)
15 minutes to work (%),Trajet de 15 minutes (%)
15-30 minutes to work (%),Trajet de 15-30 minutes (%)
30-45 minutes to work (%),Trajet de 30-45 minutes (%)
45-60 minutes to work (%),Trajet de 45-60 minutes (%)
----,----
 , 
much larger than,beaucoup plus grand que
larger than,plus grand que
almost the same as,presque le même que
smaller than,plus petit que
much smaller than,beaucoup plus petit que
larger,plus grand
smaller,plus petit
strong,forte
poor,faible
moderate,modérée
positive,positive
negative,négative
weak,faible
higher,plus grand
lower,plus petit
high,haute
low,basse
similar,similaires
with only a few exceptions,à quelques exceptions près
although with some exceptions,bien qu'avec des exceptions
although with many exceptions,bien qu'avec beaucoup d'exceptions
dramatically different,radicalement différents
substantially different,sensiblement différents
considerably different,modérément différents
"At the {scale_singular} scale, the {title} varies from {min_val} to {max_val}, with an average value of {mean_val} and a median value of {median_val}. Two thirds of {scale_plural} have a score between {quant_low} and {quant_high}.","À l'échelle {scale_singular}, {title} varie de {min_val} à {max_val}, avec une valeur moyenne de {mean_val} et une valeur médianne de {median_val}. Deux tiers {scale_plural} ont un score se situant entre {quant_low} et {quant_high}."
"<strong>Kahnawake Mohawk Territory</strong><p>Statistics Canada does not gather the same data for indigenous reserves in the Census as it does for other jurisdictions, so we cannot display findings here.","<strong>Kahnawake (Réserve indienne)</strong><p>Dans le cadre du recensement, Statistique Canada ne recueille pas les mêmes données pour les réserves autochtones que dans les autres juridictions, nous ne pouvons donc pas afficher de résultats ici."
CanALE index,Indice AVA-Can
View in 3D,Voir en 3D
Active living potential: the CanALE index,Potentiel de vie active: l'indice AVA-Can
"<strong>{place_heading}</strong><p>{place_name} has a population of {prettyNum(dat$population, ',')} and a {title} score of {round(poly_value, 2)}, which is {larger_smaller} the region-wide median of {median_val}.<p>{place_name} has {poor_strong} potential for active living, with a CanALE index score higher than {percentile}% of {scale_plural} in the Montreal region.","<strong>{place_heading}</strong><p>{place_name} a une population de {prettyNum(dat$population, ',')} et un score {title} de {round(poly_value, 2)}, ce qui est {larger_smaller} la médiane régionale de {median_val}.<p>{place_name} a un potentiel {poor_strong} de vie active, avec un score d'indice AVA-Can plus grand que {percentile}% des {scale_plural} dans la région de Montréal."
"<p>{var_explanation}<p>The {title} has effectively no correlation ({correlation}) with {var_name} at the {scale_singular} scale.<p>This means that, at the {scale_singular} scale, there is no relationship between the two variables.","<p>{var_explanation}<p>{title} n'a en fait aucune corrélation ({correlation}) avec la variable '{var_name}' à l'échelle '{scale_singular}'.<p>Cela signifie que, à l'échelle '{scale_singular}', il n'y a pas de relation entre ces deux variables."
"<p>{var_explanation}<p>The {title} has a {strong_weak} {pos_neg} correlation ({correlation}) with '{tolower(var_name)}' at the {scale_singular} scale.<p>This means that, in general, {scale_plural} with higher potential for active living tend to have {higher_lower} values for '{tolower(var_name)}', {high_low_disclaimer}.","<p>{var_explanation}<p>{title} a un indice de corrélation {strong_weak} et {pos_neg} ({correlation}) avec la variable '{tolower(var_name)}' à l'échelle '{scale_singular}'.<p>Cela signifie qu'en général, les {scale_plural} avec un haut potentiel de vie active tendent à avoir des {higher_lower} valeurs pour la variable '{tolower(var_name)}', {high_low_disclaimer}."
"<strong>{place_heading}</strong><p>{place_name} has a population of {prettyNum(dat$population, ',')}, a {title} score of {round(poly_value_1, 2)}, and a '{tolower(var_name)}' value of {round(poly_value_2, 2)}. <p>These two scores are {relative_position}, in relative terms. {place_name} has a {title} score higher than {percentile_left}% of {scale_plural} and a '{tolower(var_name)}' score higher than {percentile_right}% of {scale_plural} in the Montreal region.","<strong>{place_heading}</strong><p>{place_name} a une population de {prettyNum(dat$population, ',')}, un score {title} de {round(poly_value_1, 2)}, et une valeur pour la variable '{tolower(var_name)}' de {round(poly_value_2, 2)}. <p>Ces deux scores sont {relative_position}, en termes relatifs. {place_name} a un score {title} plus grand que {percentile_left}% des {scale_plural} et un score pour la variable '{tolower(var_name)}' plus grand que {percentile_right}% des {scale_plural} dans la région de Montréal."
Hide,En voir moins
Show,Afficher
Perform a Bivariate Analysis,Effectuez une analyse bivariée
Walkable Access to Key Amenities,Accès à pied aux services de base
Visible Minority Population,Minorité visible (population)
Immigrant Population,Population d'immigrants
"Original Plan (May 15, 2020)",Plan initial (15 mai 2020)
"Revised Plan (July 25, 2020)",Plan révisé (25 juillet 2020)
Choose more variables and explore further,Choisissez d'autres variables et explorez davantage
Population density per square km,Densité de population par kilomètre carré
Pedestrian social distancing capacity,Capacité de distanciation sociale des piétons
Work commutes by car (%),Trajets domicile-travail en voiture (%)
Trajet MTL 2016 data on pedestrian flows,Données Trajet MTL 2016 sur les déplacements des piétons
Capacity for pedestrian social distancing,Capacité de distanciation sociale des piétons
Capacity for pedestrian social distancing (%),Capacité de distanciation sociale des piétons (%)
Capacity of local population to make trips on foot while maintaining 2 meters distance (%),Capacité de la population locale à effectuer des déplacements à pied tout en conservant une distance de 2 mètres (%)
Log of Population density / km2,Log de la densité de population / km2
Pedestrian trips per sqm of walkable space index (0 = average),Indice des déplacements à pied par m² d'espace piétonnier (0 = moyenne)
Clear selection,Effacez sélection
"At the census tract scale, after removing outliers with a population below 500, the capacity for pedestrian social distancing varies from {min_ped_ct}% to {max_ped_ct}%, with an average value of {mean_ped_ct}% and a median value of {median_ped_ct}%. Two thirds of census tracts have a score between {quant_low_ped_ct}% and {quant_high_ped_ct}%. Out of the 532 census tracts, 227 of them have a capacity score below 100%, while 85 of them have a capacity score below 50%.","À l'échelle du secteur de recensement, après avoir éliminé les données aberrantes avec une population en dessous de 500 personnes, la capacité pour la distanciation sociale des piétons varie de {min_ped_ct}% à {max_ped_ct}%, avec une valeur moyenne de {mean_ped_ct} et une valeur médiane de {median_ped_ct}%. Deux tiers des secteurs de recensement ont un score entre {quant_low_ped_ct}% et {quant_high_ped_ct}%. Sur les 532 secteurs de recensement, 227 d'entre eux ont un score de capacité en dessous de 100%, alors que 85 d'entre eux ont un score de capacité en dessous de 50%."
"At the dissemination area scale, after removing outliers with a population below 100, the capacity for pedestrian social distancing varies from {min_da_uni}% to {max_da_uni}%, with an average value of {mean_da_uni}% and a median value of {median_da_uni}%. Two thirds of dissemination areas have a score between {quant_low_da_uni}% and {quant_high_da_uni}%.","À l'échelle de l'aire de diffusion, après avoir éliminé les valeurs aberrantes avec une population en dessous de 100 personnes, la capacité pour la distanciation sociale des piétons varie de {min_da_uni}% à {max_da_uni}%, avec une valeur moyenne de {mean_da_uni}% et une valeur médiane de {median_da_uni}%. Deux tiers des aires de diffusion ont un score entre {quant_low_da_uni}% et {quant_high_da_uni}%."
"The dissemination area {dat_ped_uni$ID} has a population of {prettyNum(dat_ped_uni$population, ',')} and a pedestrian social distancing capacity of {round(poly_value_ped_uni, 2)}%, which is {larger_smaller_ped_uni} the region-wide median of {median_da_uni}%.<p>Dissemination area {dat_ped_uni$ID} offers a {poor_strong_ped_uni} capacity for its residents to practice social distancing in the local pedestrian realm.","L'aire de diffusion {dat_ped_uni$ID} a une population de {prettyNum(dat_ped_uni$population, ',')} et une capacité de distanciation sociale des piétons de {round(poly_value_ped_uni, 2)}%, ce qui est {larger_smaller_ped_uni} que la médiane régionale de {median_da_uni}%.<p>L'aire de diffusion {dat_ped_uni$ID} offre un potentiel {poor_strong_ped_uni} pour ses résidents de pratiquer la distanciation sociale dans les voies piétonnes locales."
"The capacity for pedestrian social distancing metric has effectively no correlation ({correlation_ped}) with {var_name_ped} at the dissemination area scale. <p>This means that, at the dissemination area scale, there is no relationship between the two variables.","La mesure de la capacité pour la distanciation sociale des piétons n'a en fait aucune corrélation ({correlation_ped}) avec '{var_name_ped}' à l'échelle de l'aire de diffusion. <p>Cela signifie que, à l'échelle de l'aire de diffusion, il n'y a pas de relation entre ces deux variables."
"The capacity for pedestrian social distancing metric has a {strong_weak_ped} {pos_neg_ped} correlation ({correlation_ped}) with '{tolower(var_name_ped)}' at the dissemination area scale. <p>This means that, in general, dissemination areas with higher capacities to allow for pedestrian social distancing tend to have {higher_lower_ped} '{tolower(var_name_ped)}' values, {high_low_disclaimer_ped}.","La mesure de la capacité de distanciation sociale des pétions a un coefficient de corrélation {strong_weak_ped} {pos_neg_ped} ({correlation_ped}) avec la variable '{tolower(var_name_ped)}', à l'échelle de l'aire de diffusion. <p>Cela signifie que, en général, les aires de diffusion avec de plus grandes capacités de distanciation sociale des piétons tendent à avoir de {higher_lower_ped} valeurs pour la variable '{tolower(var_name_ped)}', {high_low_disclaimer_ped}."
